PROJECT,DATE,SITE,SAMPLE,SAMPLE_DESCRIPTOR,OM.AREA.g.m2,ASH.AREA.g.m2,PHICOCYANIN.MG.M2,TOTAL.MG.M2.RITCHIE
DRONE,9/9/2021,GC,8,EPIP,32.14316432,151.9679984,37.41220202,56.42446057
DRONE,9/9/2021,GC,9,EPIP,1.799371813,4.230102158,1.90828116,3.596090343
DRONE,9/9/2021,GC,10,EPIP,4.608917277,12.43776306,4.548938216,12.16207468
DRONE,9/9/2021,GC,12,EPIP,1.129430261,4.812355025,1.348301218,1.980188898
DRONE,9/9/2021,GC,13,EPIP,3.32515493,8.867079814,3.111328995,7.54862956
DRONE,9/9/2021,GC,14,EPIP,3.979298489,19.54873081,5.792597604,10.23939422
DRONE,9/9/2021,GC,15,EPIP,4.707128604,15.20171041,4.876893897,10.90335541
DRONE,9/9/2021,GC,16,EPIP,0.748276778,1.711683129,1.432950029,3.192814793
DRONE,9/9/2021,GC,17,EPIP,1.648547275,3.819134522,3.052560038,4.418754028
DRONE,9/9/2021,GC,18,EPIP,2.168833472,3.437396447,7.263546063,15.83458894
DRONE,9/9/2021,GC,19,EPIP,5.787453201,21.51295735,6.073902905,8.962314987
DRONE,9/9/2021,GC,20,EPIP,1.150475545,0.897932133,1.646021841,2.84310736
DRONE,9/9/2021,GC,12.1,EPIP,0.683971742,2.864497039,0.712616712,2.266443255
LTREB,10/13/2021,GR,2,EPIP,2.345380025,9.321891792,6.557126018,24.85285501
LTREB,10/13/2021,GR,4,EPIP,21.70470328,-14.15178455,5.781958044,19.94406466
LTREB,10/13/2021,GC,3,EPIP,2.700811494,11.0283136,3.245065931,5.327432924
LTREB,10/13/2021,BN,1,EPIP,1.525783117,11.20602933,2.673511083,2.925227153
LTREB,10/13/2021,BN,2,EPIP,1.122415166,2.562847963,1.928683394,3.985436229
LTREB,10/13/2021,BN,5,EPIP,0.473518898,0.631358531,0.746265784,1.429039523
LTREB,6/22/2021,GC,1,FILA,4.946957858,7.885988876,,4.097101234
